Year,Cars and Taxis,Light Commercial Vehicles [note 1],Heavy Goods Vehicles [note 2],Other Vehicles: Motorcycles,Other Vehicles: Buses and Coaches,Total Other Vehicles [note 3],All Motor Vehicles
1949,12.6,4,7.8,1.9,2.5,4.5,28.9
1950,15.9,4.8,7,2.7,2.5,5.3,33
1951,18.2,5.1,7.3,3.5,2.6,6.1,36.6
1952,19,5.4,7,3.7,2.6,6.3,37.8
1953,20.8,5.7,7.1,4.2,2.6,6.8,40.3
1954,23.1,5.8,7.6,4.3,2.6,6.9,43.3
1955,26.3,6.1,8.2,4.7,2.6,7.3,47.8
1956,28.7,6.2,8.1,4.6,2.6,7.2,50.2
1957,28.1,6.4,7.8,5.2,2.5,7.6,49.9
1958,34.4,7.4,8.4,5.2,2.4,7.6,57.8
1959,38.6,8.5,9.1,6.1,2.5,8.6,64.7
1960,42.3,9.3,9.5,6.2,2.4,8.6,69.8
1961,47.8,10.2,9.6,6,2.5,8.5,76.1
1962,52,10.3,9.6,5.4,2.5,7.9,79.7
1963,56.8,10.9,9.8,4.7,2.5,7.2,84.7
1964,65.7,11,10.8,4.7,2.5,7.1,94.6
1965,72,11.8,10.7,4.2,2.4,6.6,101.1
1966,78.6,11.8,10.9,3.7,2.4,6.2,107.4
1967,83.9,11.6,10.7,3.2,2.4,5.6,111.8
1968,88.7,11.7,10.9,2.9,2.4,5.3,116.6
1969,91.9,12,10.8,2.6,2.4,5,119.6
1970,96.3,12.6,10.9,2.5,2.2,4.7,124.6
1971,102.6,13.2,11.2,2.4,2.2,4.7,131.7
1972,108.6,13.8,11.4,2.3,2.2,4.5,138.3
1973,114.3,14.5,12,2.4,2.2,4.6,145.4
1974,111.8,14.7,11.6,2.6,2.1,4.7,142.7
1975,112.8,14.6,11.4,3.2,2,5.2,144
1976,118.3,15,11.9,3.9,2.1,6,151.3
1977,120.6,15.2,11.7,3.9,2,5.8,153.4
1978,125.8,15.7,12.1,3.8,2.1,5.8,159.4
1979,125.2,15.6,12.2,4,2.1,6,159
1980,133.6,16.2,12.2,4.8,2.2,7,169
1981,136.4,16.3,11.7,5.5,2.2,7.7,172.1
1982,141.2,16.2,11.4,5.7,2.2,7.9,176.8
1983,143.7,16.2,11.7,5.2,2.3,7.5,179
1984,151.6,17.1,12.2,5,2.4,7.5,188.3
1985,155.7,17.8,12.2,4.6,2.3,6.9,192.4
1986,164.3,18.6,12.5,4.4,2.3,6.7,202.1
1987,176.8,20.3,13.9,4.2,2.5,6.7,217.8
1988,189.8,22.5,14.8,3.7,2.7,6.4,233.4
1989,205.9,24.7,15.8,3.7,2.8,6.5,252.8
1990,208.7,24.8,15.5,3.5,2.9,6.3,255.3
1991,208.3,25.9,15.2,3.4,3,6.3,255.8
1992,210,25.6,14.8,2.8,2.9,5.7,256.1
1993,210.1,25.8,15.1,2.3,2.9,5.2,256.2
1994,214.4,26.9,15.4,2.3,2.9,5.2,261.9
1995,218.2,27.7,15.8,2.3,3,5.4,267
1996,223.6,28.7,16.3,2.3,3.1,5.5,274.1
1997,227.3,30.2,16.7,2.5,3.2,5.7,279.8
1998,230.3,31.6,17.2,2.6,3.3,5.8,284.9
1999,234.5,32.1,17.5,2.8,3.3,6.1,290.2
2000,233.5,32.4,17.5,2.8,3.2,6,289.6
2001,236.7,33.2,17.4,3,3.2,6.2,293.5
2002,242.4,34,17.6,3.1,3.2,6.3,300.2
2003,242,35.7,17.7,3.4,3.3,6.7,302
2004,243.9,37.3,18.2,3.2,3.2,6.3,305.7
2005,243.1,38.3,18,3.3,3.1,6.4,305.8
2006,246,39.9,18.1,3.2,3.3,6.4,310.4
2007,246.5,41.9,18.2,3.4,3.3,6.7,313.3
2008,244.8,41.6,17.8,3.1,3.1,6.2,310.5
2009,243.9,40.7,16.4,3.2,3.1,6.3,307.3
2010,239.6,41.2,16.4,2.9,3.1,6,303.2
2011,241,41.6,16,2.9,2.9,5.8,304.3
2012,240.9,42.5,15.6,2.6,2.9,5.5,304.6
2013,241.3,43.2,15.8,2.6,2.8,5.5,305.8
2014,246.9,45.8,16.2,2.7,2.8,5.6,314.5
2015,250.3,47.8,16.8,2.7,2.7,5.5,320.4
2016,254.8,50.8,16.9,2.8,2.6,5.4,327.9
2017,257.9,52.2,17.1,2.7,2.5,5.3,332.5
2018,259.1,52.8,17.2,2.7,2.4,5.1,334.2
2019,262.9,53.5,17.2,2.7,2.4,5,338.6
2020,197.3,48.6,16.2,2.2,1.6,3.8,265.9
2021,221.4,54.4,17.5,2.5,1.8,4.3,297.6
2022,244,57.5,17.4,2.8,2,4.8,323.7
2023,251.3,57.8,16.9,2.9,1.9,4.8,330.8
