Year,Population
1971-01-01,54387600
1972-01-01,54557700
1973-01-01,54692900
1974-01-01,54708700
1975-01-01,54702200
1976-01-01,54692600
1977-01-01,54666600
1978-01-01,54654800
1979-01-01,54711800
1980-01-01,54796900
1981-01-01,54814500
1982-01-01,54746200
1983-01-01,54765100
1984-01-01,54852000
1985-01-01,54988600
1986-01-01,55110300
1987-01-01,55222000
1988-01-01,55331000
1989-01-01,55486000
1990-01-01,55641900
1991-01-01,55831400
1992-01-01,55961300
1993-01-01,56078300
1994-01-01,56218400
1995-01-01,56375700
1996-01-01,56502600
1997-01-01,56643000
1998-01-01,56797200
1999-01-01,57005400
2000-01-01,57203100
2001-01-01,57424200
2002-01-01,57668100
2003-01-01,57931700
2004-01-01,58236300
2005-01-01,58685500
2006-01-01,59084000
2007-01-01,59557400
2008-01-01,60044600
2009-01-01,60467200
2010-01-01,60954600
2011-01-01,61470800
2012-01-01,61886200
2013-01-01,62307000
2014-01-01,62776300
2015-01-01,63233100
2016-01-01,63741100
2017-01-01,64090800
2018-01-01,64402700
2019-01-01,64732200
2020-01-01,64843500
2021-01-01,65078900
2022-01-01,65692200
2023-01-01,66344800
